Product ID,Optimal Price,Min MSE,Sample with Min MSE,Number of Samples
bed1,45.95,0.0,1,11
bed2,89.9,0.0,1,14
bed3,84.8902774401246,9.452817053072608e-05,4,6
bed4,47.764526559673605,0.0183530530338688,2,5
computers1,98.71560473381838,0.0340016141901921,1,10
computers2,77.0260498991959,0.763788778695512,5,5
computers3,135.98381378878193,3.671769596062284,1,5
computers4,119.99,2.0194839173657902e-28,13,13
computers5,91.68659066136146,13.590950704437557,1,3
computers6,149.9356955358602,0.0012741712803457,1,3
consoles1,36.20000000000013,1.63578197306629e-26,7,7
consoles2,33.418765379069825,0.4568519476424741,4,5
cool1,99.99000000000002,8.077935669463161e-28,6,10
cool2,129.98999999999987,2.0194839173657902e-26,6,8
cool3,60.89419825704608,16.857607952443463,2,2
cool4,158.85159442096392,124.06407884310228,4,4
cool5,99.99,0.0,1,8
furniture1,34.92845756361808,0.0051183202034608,8,8
furniture2,103.23476249643812,2.042602458706669e-06,8,8
furniture3,35.19719396794565,0.0388854609941504,7,7
furniture4,99.9,0.0,1,5
garden1,117.60684618436709,5.727185185278443,7,13
garden10,59.9,0.0,1,11
garden2,59.9,0.0,1,12
garden3,98.36254225615404,2.6486187080042014,13,13
garden4,49.89999999999997,8.077935669463161e-28,9,9
garden5,99.28549906459264,3.810951055317622,1,9
garden6,59.9,0.0,1,11
garden7,59.9,0.0,1,11
garden8,180.19064708190848,1.4176404736571793,6,9
garden9,59.9,0.0,1,12
health1,84.99,0.0,1,4
health10,50.00302811649226,0.4998092440704829,2,2
health2,325.0,0.0,1,8
health3,122.31510209893992,0.4554871768552985,2,3
health4,29.9,0.0,1,6
health5,349.9,0.0,1,15
health6,67.0954279865458,0.0111150603471025,1,2
health7,58.99000000000001,5.048709793414476e-29,9,15
health8,89.99,0.0,1,12
health9,19.99,0.0,1,13
perfumery1,56.99,0.0,2,8
perfumery2,116.9066667,0.0,8,8
watches1,145.55090910000004,8.077935669463161e-28,12,12
watches2,146.8572542603276,4.591359304884188,2,10
watches3,78.0,0.0,1,10
watches4,105.38439993157644,0.1477633073959602,3,5
watches5,216.5618255989487,0.1401196540283038,3,5
watches6,111.99999999999996,8.077935669463161e-28,9,9
watches7,280.37622695537,0.0843552452607517,4,7
watches8,134.50524851539117,549.443256600892,5,5
