Product ID,Optimal Price,Min MSE,Sample with Min MSE
bed1,39.989983,3.025867045617844e-10,11
bed2,89.89995,2.691522241228539e-09,6
bed3,91.99944,3.101886250078678e-07,6
bed4,47.899742,6.649876013324879e-08,10
computers1,98.89987,1.642853021767421e-08,8
computers2,77.90072,5.165138281800104e-07,10
computers3,133.67778,0.5009527426693604,10
computers4,149.9887,1.7076287418841596e-06,10
computers5,88.06761,84.04510417812493,8
computers6,149.8999,9.536743165172724e-09,7
consoles1,36.199245,5.693413550077057e-07,12
consoles2,32.738434,2.136175646223136,10
cool1,99.989944,3.0849128955880154e-09,7
cool2,129.98993,5.01275062689821e-09,13
cool3,64.979904,0.0004038421902805567,7
cool4,166.97104,46.74652415139765,8
cool5,99.989944,3.0849128955880154e-09,6
furniture1,34.99998,3.637978807091713e-10,13
furniture2,69.89996,1.3411045078626227e-09,10
furniture3,35.00008,6.417394615709782e-09,12
furniture4,99.89995,2.691522241228539e-09,6
garden1,89.99061,3.6992589012410684e-07,10
garden10,59.899967,1.076259650196771e-09,6
garden2,59.899967,1.076259650196771e-09,6
garden3,109.99983,2.8172507882118225e-08,15
garden4,49.90029,8.493894711219651e-08,14
garden5,98.99948,2.691522240638733e-07,10
garden6,59.899967,1.076259650196771e-09,6
garden7,59.899967,1.076259650196771e-09,6
garden8,178.99971,8.405186235904694e-08,11
garden9,59.899967,1.076259650196771e-09,6
health1,84.98996,1.6227364535978395e-09,6
health10,51.843464,0.1098683154818422,6
health2,324.99982,3.3527612686157227e-08,6
health3,122.98835,2.7227819897065608e-06,8
health4,29.899982,3.079185261823693e-10,6
health5,349.89978,4.82797622580744e-08,6
health6,66.01017,0.9600668623902735,7
health7,58.989967,1.0662712158071922e-09,13
health8,89.989944,3.0849128955880154e-09,6
health9,19.98999,9.536743161009387e-11,6
perfumery1,56.989975,6.262212992710209e-10,6
perfumery2,117.900055,0.00561676327139054,9
watches1,185.957,15.657854796387255,11
watches2,149.47089,0.9426200725138187,8
watches3,77.999954,2.0954757928848267e-09,6
watches4,104.99995,2.852175384759903e-09,9
watches5,207.75684,4.289544837320678,7
watches6,118.95084,0.3448125435746059,13
watches7,339.00015,0.8097253650798985,6
watches8,152.6298,20.36762555068375,9
