Product ID,Optimal Price,Min MSE,Sample with Min MSE,Number of Samples
bed1,39.989983,3.0258670456178436e-10,11,11
bed2,89.89995,2.691522241228539e-09,6,14
bed3,91.99944,3.101886250078678e-07,6,6
bed4,47.899742,6.64987601332488e-08,10,5
computers1,98.89987,1.6428530217674213e-08,8,10
computers2,77.90072,5.165138281800104e-07,10,5
computers3,133.67778,0.5009527426693604,10,5
computers4,149.9887,1.7076287418841596e-06,10,13
computers5,88.06761,84.04510417812493,8,3
computers6,149.8999,9.536743165172724e-09,7,3
consoles1,36.199245,5.693413550077057e-07,12,7
consoles2,32.738434,2.136175646223136,10,5
cool1,99.989944,3.0849128955880154e-09,7,10
cool2,129.98993,5.01275062689821e-09,13,8
cool3,64.979904,0.0004038421902805,7,2
cool4,166.97104,46.74652415139765,8,4
cool5,99.989944,3.0849128955880154e-09,6,8
furniture1,34.99998,3.6379788070917124e-10,13,8
furniture2,69.89996,1.3411045078626227e-09,10,8
furniture3,35.00008,6.4173946157097825e-09,12,7
furniture4,99.89995,2.691522241228539e-09,6,5
garden1,89.99061,3.699258901241069e-07,10,13
garden10,59.899967,1.076259650196771e-09,6,11
garden2,59.899967,1.076259650196771e-09,6,12
garden3,109.99983,2.8172507882118225e-08,15,13
garden4,49.90029,8.493894711219651e-08,14,9
garden5,98.99948,2.691522240638733e-07,10,9
garden6,59.899967,1.076259650196771e-09,6,11
garden7,59.899967,1.076259650196771e-09,6,11
garden8,178.99971,8.405186235904695e-08,11,9
garden9,59.899967,1.076259650196771e-09,6,12
health1,84.98996,1.6227364535978395e-09,6,4
health10,51.843464,0.1098683154818422,6,2
health2,324.99982,3.3527612686157227e-08,6,8
health3,122.98835,2.7227819897065608e-06,8,3
health4,29.899982,3.079185261823693e-10,6,6
health5,349.89978,4.82797622580744e-08,6,15
health6,66.01017,0.9600668623902736,7,2
health7,58.989967,1.066271215807192e-09,13,15
health8,89.989944,3.0849128955880154e-09,6,12
health9,19.98999,9.536743161009387e-11,6,13
perfumery1,56.989975,6.262212992710209e-10,6,8
perfumery2,117.900055,0.0056167632713905,9,8
watches1,185.957,15.657854796387255,11,12
watches2,149.47089,0.9426200725138189,8,10
watches3,77.999954,2.0954757928848267e-09,6,10
watches4,104.99995,2.852175384759903e-09,9,5
watches5,207.75684,4.289544837320678,7,5
watches6,118.95084,0.3448125435746059,13,9
watches7,339.00015,0.8097253650798985,6,7
watches8,152.6298,20.36762555068375,9,5
